ResponseId,Progress,Duration (in seconds),Finished,UserLanguage,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3,Q4.4,Q5.1,Q5.2,Q5.3,Q5.4,Q6.1,Q6.2,Q6.3,Q6.4,Q7.1,Q7.2,Q7.3,Q7.4,Q8.1,Q8.2,Q8.3,Q8.4,Q10.1,Q10.2,Q10.3,Q10.4,Q11.1,Q11.2,Q11.3,Q11.4,Q12.1,Q12.2,Q12.3,Q12.4,Q13.1,Q13.2,Q13.3,Q13.4,Q14.1,Q14.2,Q14.3,Q14.4,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,SC0
R_1NPduoXSGuMWOBC,100,371,TRUE,EN,"whebbling,ancechuttos,scalilla",,"hularing,thrurring,flicetock",,"susteries,ancechuttos,thrurring","boincole,bambeagna,figels",,,"seasslins,fluckles,cazzagra","dabbedness,margrel,aspintades",,,,"grumbered,igmanilating,scayons",,"operrhaging,fifuffies,corsenations",,"ascodiments,tescourine,citocoli","lusidour,selorine,seasslins",,,,"erdellation,selorine,myrticates","fluckles,squeping,caeduseousness",,"raruting,flompled,fluckles",,"refomped,squeasts,spaightness",,"wrartering,chaspection,sauging","shoquets,concinging,tyvuniated",,,,"enrogiciously,menniated,liechersedding","diruditions,raruting,scuptitally","squeanings,shoquets,sauging","phongishments,scuptitally,ataulting",,,"urpharities,fereniration,prebicing","veysurition,bambeagna,trambings",,,Yes,Korean,Non-native but fluent,Yes,No,Female,30
R_5PsQTFVQgF7YmV5,100,104,TRUE,EN,"whebbling,shomples,corsenations",,,"thuckeding,igmanilating,incarpritation","susteries,fifuffies,brolorous",,,"ipanelle,thuckeding,erdellation","seasslins,fluckles,cazzagra",,,"nusprils,susteries,grumbered","caeduseousness,alphociration,ascodiments","grumbered,urpharities,ancechuttos",,,"acchots,corsenations,urpharities",,"lusidour,operrhaging,seasslins",,"ropsta,brolorous,menaprigication",,"acchots,alphociration,selorine",,,"flompled,fluckles,sweadles",,"crilders,covigating,refomped","trilching,dispights,menniated",,,"prynching,boincole,diruditions",,"recightlectly,zimbazza,erpechitades",,"diruditions,conscrastions,phongishments","fluckles,shoquets,prynching",,"bambeagna,frumbered,enrogiciously",,"urpharities,risitating,concinging",,"menniated,raruting,snially",,Yes,english,Native,Yes,No,Female,26
R_5ouaUalgUHxpRoU,100,194,TRUE,EN,"whebbling,ancechuttos,scalilla",,,"fluckles,thuckeding,igmanilating",,"ascodiments,bambeagna,figels",,"cazzagra,citocoli,seasslins","sweadles,seasslins,pragingness",,"fleceils,scalilla,ascodiments",,"fereniration,lusidour,selorine","igmanilating,urpharities,tygranate",,,"tygranate,squeanings,acchots","frumbered,margrel,dabbedness",,,"rehotes,menaprigication,thrurring",,"alphociration,selorine,myrticates",,"acribating,crettoes,scuptitally",,,"covigating,refomped,spaightness",,"rechetsel,wrartering,sauging",,"encrocing,prynching,urpharities","obsightness,dispights,repufling","recightlectly,chaspection,zimbazza",,,,"phongishments,bicrinations,concinging",,"snially,saglidity,urerrivuration",,"fepupirition,fifuffies,trambings",,"urerrivuration,shoquets,ancechuttos",Yes,Hindi / English,Non-native but fluent,Yes,No,Female,33
R_6OJSOmCiRPT19xD,100,297,TRUE,EN,"crilollering,squeping,corsenations",,,"squeanings,igmanilating,incarpritation","susteries,fifuffies,brolorous",,,"ipanelle,citocoli,erdellation",,,"fleceils,corsenations,caeduseousness","flicetock,susteries,fifuffies",,"igmanilating,urpharities,scayons",,"operrhaging,squayophrenism,corsenations",,"ascodiments,aspintades,tescourine",,"ancechuttos,erteycole,nusprils","rehotes,scayons,ropsta",,"acchots,ardudellis,alphociration",,"forbicing,acribating,phongishments","raruting,ataulting,quiprigraphy",,,,"rechetsel,zimbazza,raruting",,"prynching,repufling,diruditions","obsightness,dispights,bambeagna",,"enrogiciously,menniated,liechersedding",,,"phongishments,bicrinations,ataulting","bambeagna,boincole,squeasts",,,"fepupirition,saglidity,erpechitades",,"urreocatry,urerrivuration,flompled",Yes,English,Native,Yes,No,Female,42
R_7DBxUgXTvZazaWd,100,211,TRUE,EN,,"croapings,stroblings,ropsta","diturably,hularing,sweadles",,,"bambeagna,figels,flicetock","marreccone,aspintades,selorine",,,,"corsenations,scalilla,ipanelle","flicetock,gormidion,fifuffies",,,"squeanings,briagra,thrurring","diadegons,fifuffies,pylisation",,"ascodiments,frumbered,dabbedness","lusidour,operrhaging,seasslins",,,"diadegons,squayophrenism,erteycole","acchots,selorine,fereniration",,,"raruting,sweadles,quiprigraphy",,"covigating,squeasts,saglidity",,,"shoquets,tyvuniated,fifuffies","encrocing,repufling,urpharities",,,"grumbered,urreocatry,liechersedding","conscrastions,scuptitally,phongishments","fifuffies,squeanings,sauging",,"bambeagna,boincole,chaspection",,,,"raruting,snially,enrogiciously","scuptitally,urreocatry,shoquets",No,BENGALI,Non-native but fluent,Yes,No,Female,27
R_1Gws5IxklMoZJBg,100,234,TRUE,EN,,"croapings,stroblings,figelled",,"squeanings,fluckles,thuckeding",,"boincole,bambeagna,alphociration","erpechitades,marreccone,aspintades",,,"dabbedness,margrel,aspintades","caeduseousness,ipanelle,lusidour",,,,"frumbered,squeanings,thrurring","incarpritation,squayophrenism,corsenations",,,"lusidour,selorine,seasslins","brolorous,ancechuttos,nusprils",,,"acchots,erdellation,fereniration","corsenations,incarpritation,caeduseousness","acribating,repufling,scuptitally","flompled,fluckles,quiprigraphy",,,"sweadles,dispights,squeasts",,"cacqueting,shoquets,fifuffies",,"spaightness,obsightness,dispights",,,"diruditions,conscrastions,scuptitally",,"ancechuttos,erpechitades,ataulting","bambeagna,squeasts,enrogiciously",,"tyvuniated,fereniration,prebicing",,,"scuptitally,urerrivuration,flompled",Yes,turkish,Non-native but fluent,Yes,No,Female,38
R_1WPtoxrFPXFXcKP,100,492,TRUE,EN,"crilollering,whebbling,squeping",,"diturably,thrurring,flicetock",,,"ascodiments,bambeagna,myrticates","marreccone,rehotes,scalilla",,,"dabbedness,briagra,shomples",,"nusprils,susteries,fifuffies",,,"menaprigication,canmiobraine,ipanelle","squayophrenism,diadegons,pylisation","myrticates,acchots,urpharities",,"lusidour,selorine,seasslins",,,"diadegons,pylisation,thuckeding","erdellation,ardudellis,alphociration",,"crettoes,phongishments,cacqueting","raruting,ataulting,fluckles",,,"trilching,dispights,menniated",,,"encrocing,boincole,femiture",,"chaspection,erpechitades,covigating",,"risitating,scuptitally,phongishments","fluckles,prynching,sauging","ancechuttos,phongishments,scuptitally",,,,"veysurition,fepupirition,trambings",,"urerrivuration,flompled,shoquets",Yes,"english, spanish",Native,Yes,No,Female,35
R_7E9WyA1D2AcMXdz,100,191,TRUE,EN,"crilollering,corsenations,ancechuttos",,,"squeanings,thuckeding,incarpritation",,"boincole,myrticates,figels",,"ipanelle,cazzagra,citocoli","seasslins,thuckeding,cazzagra","shomples,margrel,squeanings",,,"caeduseousness,fereniration,alphociration",,"menaprigication,canmiobraine,thrurring",,"tygranate,myrticates,corsenations","ascodiments,tescourine,citocoli",,,,"pylisation,squayophrenism,erteycole","ardudellis,selorine,myrticates",,"crettoes,phongishments,scuptitally",,"prebicing,dispights,tyvuniated",,"sweadles,quiprigraphy,trilching",,,"encrocing,repufling,diruditions","spaightness,fluckles,repufling",,"enrogiciously,grumbered,urreocatry",,,"concinging,scuptitally,ataulting",,"snially,conscrastions,risitating",,"bambeagna,erpechitades,trambings",,"scuptitally,flompled,ancechuttos",Yes,English,Native,Yes,No,Female,33
R_6KJksAWfjNX4PSj,4,12,FALSE,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
R_6N94DBrBAvD8Zl3,19,78073,FALSE,EN,"crilollering,whebbling,corsenations","croapings,stroblings,figelled",,,"fifuffies,thrurring,brolorous",,"erpechitades,rehotes,scalilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
R_1nASRm2qPBHovdP,100,2179,TRUE,EN,"crilollering,whebbling,squeping","thellering,canmiobraine,erteycole",,,"susteries,ancechuttos,fleceils","ascodiments,bambeagna,figels",,,"seasslins,pragingness,thuckeding",,,"flicetock,fifuffies,operrhaging",,"igmanilating,urpharities,scayons","frumbered,canmiobraine,squeanings",,"acchots,corsenations,urpharities","tescourine,margrel,dabbedness",,,"rehotes,scayons,menaprigication","figels,diadegons,erteycole",,,,"ataulting,flompled,sauging","trambings,femiture,dispights",,"trilching,dispights,squeasts","rechetsel,wrartering,sauging",,,"obsightness,fluckles,bambeagna",,,"diruditions,conscrastions,scuptitally","raruting,prynching,sauging",,,"zimbazza,saglidity,risitating","tyvuniated,prebicing,risitating","veysurition,erpechitades,trambings",,,Yes,English,Native,Yes,No,Male,31
R_3TN22oOYRFZrjXT,100,549,TRUE,EN,,,"diturably,hularing,susteries","squeanings,thuckeding,igmanilating","ancechuttos,brolorous,frumbered",,,"ipanelle,citocoli,seasslins","sweadles,fluckles,cazzagra",,"corsenations,caeduseousness,ascodiments",,"fereniration,ascodiments,selorine","igmanilating,urpharities,tygranate",,,"susteries,corsenations,urpharities",,,"ancechuttos,erteycole,nusprils",,"figels,pylisation,erteycole","ardudellis,selorine,myrticates",,,"raruting,flompled,sauging","prebicing,trambings,bambeagna",,,,"shoquets,concinging,tyvuniated","prynching,boincole,femiture","obsightness,urpharities,bambeagna","recightlectly,covigating,snially",,,,"ancechuttos,phongishments,ataulting","bambeagna,squeasts,enrogiciously",,"fereniration,sweadles,risitating","veysurition,saglidity,erpechitades",,,Yes,English,Native,Yes,Yes,Female,34
R_5KpRemipwnPlaD2,26,62956,FALSE,EN,,,"hularing,thrurring,sweadles","squeanings,thuckeding,igmanilating",,,"marreccone,aspintades,selorine","cazzagra,citocoli,seasslins","pragingness,thuckeding,fluckles",,,"flicetock,fifuffies,operrhaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
R_4xJFhCf2Ohhq1Qt,57,1134,FALSE,EN,,"stroblings,thellering,canmiobraine",,"squeanings,fluckles,thuckeding",,"boincole,bambeagna,alphociration","aspintades,rehotes,selorine",,,"dabbedness,margrel,aspintades","fleceils,scalilla,ascodiments",,,"urpharities,ancechuttos,scayons",,"diadegons,fifuffies,pylisation",,,"lusidour,bambeagna,seasslins","ancechuttos,erteycole,crilollering",,,"acchots,alphociration,fereniration","margrel,fluckles,squeping",,"raruting,fluckles,sweadles","liechersedding,dispights,tyvuniated",,,,,,,,,,,,,,,,,,,,,,,,20
R_5ktX4eWMmNH3usx,100,1039,TRUE,EN,"crilollering,whebbling,squeping","thellering,canmiobraine,erteycole",,,"susteries,fifuffies,brolorous",,,"cazzagra,citocoli,seasslins","sweadles,pragingness,fluckles","dabbedness,briagra,aspintades",,,"fereniration,alphociration,lusidour",,"menaprigication,squeanings,thrurring",,,,"bambeagna,selorine,operrhaging","crilollering,grumbered,nusprils",,"figels,squayophrenism,erteycole",,"corsenations,fluckles,squeping",,"ataulting,flompled,quiprigraphy","liechersedding,trambings,bambeagna",,"quiprigraphy,grumbered,squeasts","pragingness,zimbazza,chaspection",,,,"recightlectly,chaspection,erpechitades","bicrinations,urreocatry,menniated",,"squeanings,shoquets,prynching",,"boincole,frumbered,enrogiciously",,,"veysurition,fepupirition,trambings","femiture,chrotutation,menniated",,Yes,"Lithuanian, Polish",Non-native but fluent,Yes,No,Female,35
R_7q4woeXHU429MV3,100,236,TRUE,EN,"crilollering,squeping,corsenations","croapings,thellering,erteycole",,,,"ascodiments,myrticates,flicetock",,"ipanelle,cazzagra,seasslins","seasslins,pragingness,fluckles","dabbedness,briagra,aspintades",,,,,"menaprigication,canmiobraine,squeanings","operrhaging,squayophrenism,pylisation","myrticates,susteries,acchots","ascodiments,aspintades,citocoli",,,,"diadegons,squayophrenism,erteycole",,"figelled,fluckles,caeduseousness",,"flompled,quiprigraphy,sauging","liechersedding,trambings,femiture",,"sweadles,dispights,squeasts",,"cacqueting,shoquets,tyvuniated",,,,"enrogiciously,urreocatry,menniated","diruditions,conscrastions,phongishments",,"phongishments,bicrinations,ataulting",,"zimbazza,saglidity,risitating",,"veysurition,bambeagna,trambings",,"refomped,flompled,ancechuttos",Yes,English,Native,Yes,No,Male,32
R_3lrJyHtsXfzvw6I,100,80,TRUE,EN,,"stroblings,ropsta,erteycole",,"squeanings,fluckles,thuckeding",,"boincole,bambeagna,alphociration","aspintades,selorine,diturably",,"sweadles,crilollering,cazzagra",,,"flicetock,susteries,fifuffies","acchots,ascodiments,selorine",,,"incarpritation,operrhaging,squayophrenism","susteries,acchots,urpharities","ascodiments,margrel,citocoli",,,,,"ardudellis,alphociration,myrticates","margrel,incarpritation,caeduseousness",,,"prebicing,trambings,dispights","crilders,spaightness,saglidity",,,"cacqueting,urerrivuration,tyvuniated","encrocing,urpharities,boincole",,"frumbered,chaspection,covigating","bicrinations,grumbered,urreocatry",,"squeanings,raruting,sauging",,,"zimbazza,risitating,obsightness",,"fifuffies,bambeagna,trambings","femiture,raruting,snially",,Yes,"English, Chinese",Native,Yes,No,Male,28
R_7p9sRhgNucjy53z,100,1507,TRUE,EN,,"croapings,stroblings,thellering",,"squeanings,fluckles,nusprils",,"ascodiments,figels,flicetock",,"seasslins,thuckeding,erdellation",,"dabbedness,shomples,whebbling","fleceils,scalilla,ipanelle",,"caeduseousness,fereniration,alphociration",,"frumbered,squeanings,thrurring",,"myrticates,susteries,acchots",,"selorine,operrhaging,fifuffies",,"rehotes,ropsta,brolorous",,"erdellation,ardudellis,myrticates",,,,"trambings,femiture,tyvuniated","crilders,refomped,erpechitades","quiprigraphy,trilching,menniated",,"shoquets,tyvuniated,fifuffies",,"obsightness,fluckles,repufling","frumbered,erpechitades,covigating",,,"raruting,prynching,sauging","erpechitades,phongishments,ataulting",,,"tyvuniated,urpharities,sweadles","saglidity,erpechitades,trambings",,,Yes,Spanish,Non-native but fluent,Yes,Yes,Female,34
R_6YMWOUtRGCroHId,100,156,TRUE,EN,,"stroblings,thellering,canmiobraine",,"squeanings,fluckles,thuckeding",,"myrticates,figels,alphociration","marreccone,aspintades,selorine",,,"shomples,aspintades,squeanings",,"susteries,fifuffies,grumbered","fereniration,acchots,lusidour",,"frumbered,menaprigication,squeanings",,,"tescourine,margrel,citocoli","operrhaging,cazzagra,seasslins",,"scayons,brolorous,thellering",,"acchots,fereniration,myrticates",,,,"liechersedding,dispights,bambeagna","refomped,squeasts,saglidity",,"rechetsel,wrartering,sauging","liechersedding,tyvuniated,fifuffies",,,"recightlectly,chaspection,snially","enrogiciously,grumbered,menniated",,"fifuffies,fluckles,raruting","ancechuttos,phongishments,concinging",,,"tyvuniated,urpharities,prebicing","veysurition,fifuffies,trambings",,,Yes,English,Native,Yes,No,Female,29
R_6JXXgDHLAGwyLf4,100,143,TRUE,EN,"corsenations,ancechuttos,scalilla",,,"squeanings,fluckles,nusprils",,,"aspintades,scalilla,selorine","cazzagra,citocoli,seasslins","sweadles,pragingness,thuckeding",,,"flicetock,fifuffies,operrhaging","caeduseousness,fereniration,alphociration",,"canmiobraine,ipanelle,briagra",,,"margrel,citocoli,dabbedness",,"brolorous,grumbered,nusprils","brolorous,menaprigication,thrurring","figels,pylisation,erteycole",,,"forbicing,acribating,repufling",,"dispights,bambeagna,tyvuniated",,,"rechetsel,pragingness,raruting",,"encrocing,boincole,femiture","urpharities,fluckles,bambeagna",,"enrogiciously,urreocatry,liechersedding",,,"erpechitades,scuptitally,ataulting","bambeagna,squeasts,chaspection",,,"fepupirition,saglidity,fifuffies",,"urreocatry,urerrivuration,flompled",Yes,English,Native,Yes,No,Male,28
R_6AlH3jiExFOas4V,100,300,TRUE,EN,,"thellering,ropsta,erteycole",,"squeanings,thuckeding,igmanilating",,"ascodiments,boincole,bambeagna",,"cazzagra,citocoli,seasslins",,,"fleceils,corsenations,scalilla","flicetock,susteries,fifuffies","caeduseousness,fereniration,alphociration",,,"operrhaging,squayophrenism,corsenations","myrticates,squeanings,urpharities",,"lusidour,selorine,seasslins",,"rehotes,scayons,brolorous",,,"corsenations,margrel,fluckles","crettoes,phongishments,scuptitally","raruting,flompled,sauging",,,,"rechetsel,wrartering,pragingness","cacqueting,shoquets,fifuffies",,"spaightness,obsightness,bambeagna",,,"diruditions,conscrastions,scuptitally","shoquets,raruting,sauging","erpechitades,phongishments,scuptitally",,,,"veysurition,fepupirition,trambings","femiture,chrotutation,snially",,Yes,english,Native,Yes,No,Female,41
